ID,Original filename,Capture time,Caption,Notes
P01,image-4eae378a.jpg,2026:09:17 09:52:43,"Wide view of the ALL IN 2026 expo floor, with Farpoint and Vector Institute signage visible - ALL IN day 3, Sept 17, 2026.",Expo-floor establishing shot; vertical frame.
P02,image-cfbaa64f.jpg,2026:09:17 10:37:12,"A Norbot representative explains the company's robotics display to visitors on the ALL IN expo floor - ALL IN day 3, Sept 17, 2026.",Near-duplicate sequence P02-P04; speaker name not confirmed.
P03,image-c8590bff.jpg,2026:09:17 10:37:22,"Conference traffic moves through the ALL IN expo floor near the Norbot and Vector Institute displays - ALL IN day 3, Sept 17, 2026.",Wide contextual shot.
P04,image-2df039fb.jpg,2026:09:17 10:37:32,"A Norbot representative demonstrates the company's robotics work to two visitors at its ALL IN booth - ALL IN day 3, Sept 17, 2026.",Near-duplicate sequence P02-P04; strongest booth context.
P05,image-fcc49279.jpg,2026:09:17 10:37:37,"A presenter speaks with attendees beside the Canada-Germany ""Confidential Edge"" computing display at ALL IN - ALL IN day 3, Sept 17, 2026.",Near-duplicate sequence P05-P06; identity not confirmed.
P06,image-f01e74f1.jpg,2026:09:17 10:38:42,"Conversation at the ""Confidential Edge"" Canada-Germany sovereign-computing display on the ALL IN expo floor - ALL IN day 3, Sept 17, 2026.",Near-duplicate sequence P05-P06.
P07,image-19519ded.jpg,2026:09:17 10:38:52,"Attendees gather around a rugged edge-computing unit at the GECCO and enclAIve ""Confidential Edge"" display - ALL IN day 3, Sept 17, 2026.",Booth detail and conversation.
P08,image-70023ead.jpg,2026:09:17 10:38:54,"A booth representative discusses a rugged edge-computing system at the ""Confidential Edge"" display - ALL IN day 3, Sept 17, 2026.",Identity not confirmed.
P09,image-3dababe2.jpg,2026:09:17 11:27:53,"A busy aisle on the ALL IN 2026 exhibition floor as attendees circulate between demos and meetings - ALL IN day 3, Sept 17, 2026.",Strong expo establishing shot.
P10,image-fff713b5.jpg,2026:09:17 12:16:12,"AI SketchBot robotic arms draw attendee caricatures at the Lenovo and NVIDIA activation - ALL IN day 3, Sept 17, 2026.",Detail shot of the hardware and drawings.
P11,image-4fa73c5e.jpg,2026:09:17 12:16:16,"A finished AI SketchBot caricature card from the Lenovo and NVIDIA activation at ALL IN - ALL IN day 3, Sept 17, 2026.",Likely Kris's caricature; confirm before publication.
P12,image-2e9af474.jpg,2026:09:17 12:18:31,"AI SketchBot robot arms lined up to draw live caricatures at the Lenovo and NVIDIA booth - ALL IN day 3, Sept 17, 2026.",Wider hardware view.
P13,image-16c7c06e.jpg,2026:09:17 12:19:39,"A speaker presents an emergency-response scenario on the ALL IN Talks stage while a DJ works behind him - ALL IN day 3, Sept 17, 2026.",Near-duplicate talk sequence P13-P16; speaker and session title not confirmed.
P14,image-cead040c.jpg,2026:09:17 12:19:46,"The ALL IN Talks speaker walks the stage during a timed emergency-response demonstration - ALL IN day 3, Sept 17, 2026.",Near-duplicate talk sequence P13-P16.
P15,image-55711a9e.jpg,2026:09:17 12:19:47,"A speaker addresses the ALL IN Talks audience as a slide counts through a high-stakes response scenario - ALL IN day 3, Sept 17, 2026.",Near-duplicate talk sequence P13-P16.
P16,image-97a0189b.jpg,2026:09:17 12:20:15,"The ALL IN Talks stage pairs a live speaker with music during a presentation about acting under uncertainty - ALL IN day 3, Sept 17, 2026.",Near-duplicate talk sequence P13-P16.
P17,image-18b32be0.jpg,2026:09:17 13:36:31,"Three presenters take the ON AIR stage at ALL IN, with the central speaker at the lectern - ALL IN day 3, Sept 17, 2026.",Near-duplicate stage sequence P17-P21; names not confirmed.
P18,image-04ca6add.jpg,2026:09:17 13:36:48,"An Indigenous speaker addresses the ON AIR audience while two hosts stand beside him - ALL IN day 3, Sept 17, 2026.",Near-duplicate stage sequence P17-P21; identity not confirmed.
P19,image-a00d8afc.jpg,2026:09:17 13:37:02,"Close view of the Indigenous speaker at the ALL IN ON AIR lectern - ALL IN day 3, Sept 17, 2026.",Near-duplicate stage sequence P17-P21; identity not confirmed.
P20,image-1c03e3be.jpg,2026:09:17 13:39:07,"A host speaks from the ALL IN ON AIR lectern as the other presenters look on - ALL IN day 3, Sept 17, 2026.",Near-duplicate stage sequence P17-P21; identities not confirmed.
